No,例文,回答者総数,○,?,×,無回答
1,雨が降る前に帰りましょう。,2151,98.0,1.3,0.5,0.2
2,私は毎朝子どもたちに弁当を作ります。,1506,96.9,1.1,1.7,0.3
3,この試験に合格するためには，日本語をよく知らなければならない。,1856,94.2,3.2,2.6,0.0
4,叱られる前にやめましょう。,2151,93.9,3.8,2.2,0.1
5,僕はパリで生まれたよ。,1506,93.0,5.0,2.0,0.0
6,太郎が帰ってから花子が来た。,2151,92.3,4.6,3.0,0.0
7,雷が鳴ってから，雨が降り出した。,2151,90.7,5.7,3.4,0.2
8,跡形もなく焼けてしまった建物の上を．ヘリコプターが飛んでいた。,1856,90.5,4.8,4.3,0.4
9,最近は、年のせいか，酒を飲むことができなくなった。,1506,90.1,5.5,2.0,0.0
10,死ぬ前においしいものをたくさん食べておきましょう,2151,89.0,6.8,4.1,0.0
11,先生は東京でお生まれになりましたか。,1506,88.4,6.4,5.0,0.1
12,東京から岡山まででヒカリが停まる駅がいくつあるか。/東京から岡山まででヒカリが停まる駅はいくつあるか。,2151,87.9,7.8,4.2,0.0
13,照りつけていた太陽の熱気で，不快指数が上がった。,1506,87.3,6.7,5.8,0.2
14,太郎は戦争が終わってから死んだ。,2151,87.0,7.6,5.3,0.0
15,電車に飛び乗ると，傘を持っていた人が話しかけてきた。,2151,86.1,8.1,5.7,0.1
16,太郎が読んでいる本はシェークスピアだった。,2151,86.1,6.3,6.5,1.1
17,食事をしたあとに日本語を勉強した。,2151,85.7,8.3,5.7,0.3
18,お金がなくなる前に帰りましょう。,2151,84.6,10.4,5.0,0.1
19,忘れる前に返事を書きましょう。,2151,84.6,8.5,6.8,0.1
20,調停を中止すると委員長が代表団に話した。,1506,84.5,10.5,4.7,0.3
21,彼は，金があるから，子供を留学させた。,1506,84.5,9.9,5.4,0.3
22,太郎が散歩させている犬は，小さかった。,2151,84.3,8.2,7.5,0.0
23,鐘が鳴ったあとで、家を出た。,2151,84.2,12.3,2.6,0.8
24,太郎は偶然花子に会って，その話をした。,2151,84.1,10.2,5.6,0.1
25,先生はこの時計をパリでお買いになりましたか。,1506,83.9,8.6,7.4,0.1
26,よし，と言って，子供を行かせた。,1506,83.7,10.7,5.4,0.1
27,彼は，燃えさかっていた火の中へ飛びこんで，子供を助けた。,1856,83.2,8.2,8.5,0.1
28,太郎が死んだあとに，花子が死んだ。,2151,83.1,11.3,5.7,0.0
29,太郎が来るなら，一緒に食事がしたい。,1856,82.5,11.4,5.9,0.2
30,あなたは花子がつんぼだと知っていますか。/あなたは花子が身体障害者だと知っていますか。,2151,81.7,8.8,9.2,0.3
31,魚の中で鯛がいい。,1506,81.7,11.5,6.6,0.2
32,太郎は朝目を覚まして，顔を洗った。,2151,81.6,11.2,7.2,0.1
33,太郎が花子をなぐって，二郎が秋子をなぐった。,2151,81.6,13.2,5.1,0.0
34,僕が生きているうちは、僕はこの会社のボスだ。,1506,81.5,11.2,7.2,0.1
35,太郎がせきをして，花子がくしゃみをした。,2151,81.2,15.1,3.4,0.3
36,太郎は人間が羽のない二本足の動物であるのを知らなかった。/太郎は鈴虫がコオロギ科の昆虫であるのを知らなかった。/太郎は鈴虫がコオロギ科の動物であるのを知らなかった。,2151,81.1,10.8,8.0,0.1
37,あの男は、僕が礼状を寄こさなかったことを怒っている。,1506,80.7,6.4,12.7,0.2
38,崖から落ちろ。,1506,80.1,13.0,6.7,0.2
39,太郎が花子をなぐったのはうそだ。,2151,79.8,13.3,6.9,0.0
40,君はこの写真をパリで撮ったか(い)。,1506,79.7,12.4,7.8,0.1
41,加藤氏は，友人が国会で質問していた有様をテレビで見た。,1856,79.7,9.5,10.8,0.0
42,君はパリでこの香水を買ったか(い)。,1506,79.5,12.0,8.4,0.2
43,東京から京都まででこの列車がとまる駅がいくつあるか。,2151,79.2,11.9,9.0,0.0
44,6時に太郎と別れてから，7時に映画を見に行った。,2151,77.6,13.6,8.6,0.1
45,君はこの時計をパリで買ったか(い)。,1506,77.4,12.8,9.6,0.1
46,試験にパス出来ないで悲しい。,1506,77.3,14.3,8.4,0.0
47,山田はこう考える。,1506,77.0,19.3,3.7,0.0
48,そんなに高いと，私は買いませんよ。(決意),1506,76.9,14.7,8.2,0.1
49,太郎が10才であるのは確かです。,2151,76.8,17.1,6.0,0.1
50,花子さんが連れている子供は太郎だった。,1856,76.7,15.5,7.8,0.0
51,6時にごはんを食べたあとで，映画を見に行った。,2151,76.0,14.3,9.6,0.1
52,自分が癌でなかったことが，浩を喜ばせた。,1506,75.0,15.0,9.5,0.5
53,太郎が死なないうちに、お金を借りておきましょう。,2151,75.0,14.3,10.7,0.0
54,東京から京都までこの列車がとまる駅がいくつかるか。,2151,74.5,16.2,9.3,0.0
55,会えたのは，太郎にだけだ。,1506,74.4,16.1,9.4,0.2
56,魚のうちで鯛がいい。,1506,74.0,16.5,9.4,0.1
57,花のうちで桜がいい。,1506,74.0,16.1,9.7,0.2
58,その決着はあまり喜ばれなかった。,1506,73.8,16.1,10.0,0.1
59,私には山田先生がいらっしゃるから大丈夫だ。,1506,73.6,12.2,14.1,0.1
60,はげしく降っていた雪の中を，救助隊が出動した。,1506,73.6,12.7,13.5,0.2
61,太郎がでかけた公園。,1506,73.4,18.9,7.6,0.1
62,太郎は花子が自分（＝太郎）をあいしていることに，全然気づいていないのだよ。,1856,73.1,13.6,13.0,0.3
63,太郎が戸惑ったニュース。,1506,73.0,21.0,5.9,0.0
64,あそこへ行けるのは，バスでだけです。,1506,73.0,15.1,11.8,0.1
65,本箱を購入できる。,1506,72.6,18.9,8.4,0.1
